id,name_kor,name_eng,image_url,description,features,precautions
1,"고라니",Goat,https://i.namu.wiki/i/fCDzvNXe4SegDQEmBIU8lW-BJYNm9M_JJkW6mlYwrOqNvvM8SuTbW_RoRXk8rg98mjF9yGrxqHz2pxdVpD853g.webp,"사람에게 해를 끼치지는 않지만, 가까이 다가가거나 자극하지 않도록 주의","[""\ub178\ub8e8\uc758 \uc77c\uc885\uc73c\ub85c \ubab8\uc774 \uc791\uace0 \ubfd4\uc774 \uc5c6\uc74c"", ""\uacac\uce58(\u72ac\u9f52: \uc1a1\uacf3\ub2c8)\uac00 \uc1a1\uacf3 \ubaa8\uc591\uc73c\ub85c \ud2b9\ubcc4\ud788 \uae38\uac8c \uc790\ub77c \ub05d\uc774 \uad6c\ubd80\ub7ec\uc838 \uc788\uace0, \uc785 \ubc16\uc73c\ub85c \ub098\uc634""]","[""\ucc3b\uae38\uc5d0\uc11c \ub9cc\ub0ac\uc744 \ub550 \uacbd\uc801\uc744 \uc6b8\ub9ac\uba70 \uc548\uc804\ud788 \uc11c\ud589 \ud1b5\uacfc""]"
2,"멧돼지","Wild boar",https://i.namu.wiki/i/EZEB0Ebs9QJhm-eL9ToQjluaCx-VOGqbapKdoyT1Rhb4qAB0OFyEyUboZtvB1_gImIv8_6GB_ifhWoi9OvQHLA.webp,"사람에게 위해를 끼칠 수 있으니 절대 접근하지 말고, 거리를 두고 안전을 확보","[""\ubab8\ud1b5\uc774 \uc9e7\uace0 \ud2bc\ud2bc\ud558\uba70, \uc55e\ub2e4\ub9ac\uc5d0 \ube44\ud574 \ub4b7\ub2e4\ub9ac\uac00 \ub35c \ubc1c\ub2ec\ub428"", ""\ub454\ud574\ubcf4\uc774\ub294 \uc0dd\uae40\uc0c8\uc640 \ub2ec\ub9ac \ub9e4\uc6b0 \ubbfc\ucca9\ud568""]","[""\ubc1c\uacac \uc989\uc2dc \uc2e0\uace0\ud558\uba70, \ubc14\uc774\ub7ec\uc2a4\uac00 \uc62e\uc744 \uc218 \uc788\uc73c\ub2c8 \uc811\ucd09\ud558\uc9c0 \uc54a\ub3c4\ub85d \uc870\uc2ec""]"
3,"청설모",Squirrel,https://upload.wikimedia.org/wikipedia/commons/7/7d/%EB%8F%99%EB%B6%80%ED%9A%8C%EC%83%89%EB%8B%A4%EB%9E%8C%EC%A5%90.jpg,"사람에게 해를 끼치지 않으니 조심히 지켜보기 바람","[""\ubcf5\uc2e4\ubcf5\uc2e4\ud55c \uae34 \uaf2c\ub9ac\ub294 \uade0\ud615\uc744 \uc7a1\ub294\ub370 \ub3c4\uc6c0\uc744 \uc8fc\uba70, \uc7a0\uc744 \uc798 \ub54c \uaef4\uc548\uace0 \uc790\uba74 \uccb4\uc628\uc744 \uc720\uc9c0\uc2dc\ucf1c\uc90c""]","[""\uc720\ud574\ud558\uc9c0 \uc54a\uc73c\ub2c8 \uac00\uae4c\uc774 \ub2e4\uac00\uac00\uac70\ub098 \uc790\uadf9\ud558\uc9c0 \uc54a\ub3c4\ub85d \uc8fc\uc758""]"
4,"다람쥐",Chipmunk,https://cdn.polinews.co.kr/news/photo/202001/448410_1.jpg,"사람에게 해를 끼치지 않으니 자연스럽게 두기 바람","[""\uaca8\uc6b8\uc7a0\uc744 \uc790\uae30 \uc704\ud574 \uba39\uc774\ub97c \ub545\uc5d0 \ubb3b\uc5b4 \uc800\uc7a5""]","[""\uc704\ud5d8\ud558\uc9c0 \uc54a\uc73c\ub2c8 \uc790\uadf9\ud558\uc9c0 \uc54a\uace0 \uc870\uc6a9\ud788 \uad00\ucc30 \ubc14\ub78c""]"
5,"너구리",Raccoon,https://i.namu.wiki/i/TW0aMgm9rEqnZX1jKcgJXUSJCrppbKVvz7ApxrbSRSJHaURYsEK9A_2063-FN23kTI36rDLKy_n_PYVOamvMjQ.webp,"사람에게 위해를 줄 수 있으니 거리를 두고 관찰 바람","[""\uc8fc\ub465\uc774\uac00 \ubfb0\uc871\ud558\uace0 \uadc0\uac00 \ub3d9\uae00\ub3d9\uae00\ud558\uba70, \ubab8\uc5d0 \uc0b4\uc9d1\uc774 \ub9ce\uc74c"", ""\uac1c\uacfc \ub3d9\ubb3c \uc911 \uc720\uc77c\ud558\uac8c \uaca8\uc6b8\uc7a0\uc744 \uc790\ub294 \ub3d9\ubb3c\uc774\uba70, \ub098\ubb34\ub97c \uc798 \ud0c0\ub294 \ud3b8\uc5d0 \uc18d\ud568""]","[""\uc811\ucd09 \uc2dc \ubc14\uc774\ub7ec\uc2a4 \uac10\uc5fc \uc704\ud5d8\uc774 \uc788\uc73c\ub2c8 \uc811\ucd09\uc744 \ud53c\ud574\uc57c \ud568""]"
6,"반달가슴곰","Asiatic black bear",https://i.namu.wiki/i/osXEr6lv9wHbhkgKwII9C2pcLj-ym0-s_86cdAGk6p48QPUyuqOWmftIs6KOp2xtftVFZyV_Ikb0hvWuHb9Tlw.webp,"금속류의 쇳소리를 싫어하므로 호루라기를 소지하며 등을 보이지 않도록 주의","[""\uacf0 \uc911\uc5d0\uc11c 4\ubc88\uc9f8\ub85c \ud06c\uba70, \uc55e\ubc1c\uc774 \ub2e4\ub978 \uacf0\ubcf4\ub2e4 \ud070 \ud3b8""]","[""\ubc1c\uacac \uc989\uc2dc \uc2e0\uace0 \ud6c4 \uc778\uae30\ucc99\uc744 \ub0b4\uc5b4 \ucad3\uc544\ub0b4\uc57c \ud568""]"
7,"노루","Roe deer",https://www.chosun.com/resizer/v2/NKTPEMDQPLVLIYZ5ODG4PSIBIE.jpg?auth=1b431042ab8ee3ccd652c8e03ccf4f1eecfa806bcf4423cef8f22514f37e08e9&width=616,"사람에게 해를 끼치지 않으니 조용히 관찰 바람","[""\ud3c9\uc18c\uc5d0\ub294 \ubd89\uc740\uc0c9\uc744 \ub744\uc9c0\ub9cc, \uaca8\uc6b8\uc774 \ub418\uba74 \ubd81\ubd80\ub294 \ubc1d\uc740 \ud68c\uc0c9, \ub0a8\ubd80 \uac1c\uccb4\uad70\uc740 \ud68c\uac08\uc0c9\uc774\ub098 \ud669\ud1a0\uc0c9\uc744 \ub754"", ""\uc5c9\ub369\uc774\uc5d0 \ud770 \ubc18\uc810\uc774 \uc788\uc73c\uba70, \uc218\ucef7\uc740 3\uac1c\uc758 \uac08\ub798\uac00 \uc788\ub294 \ud070 \ubfd4\uc774 \ub0a8""]","[""\ucc3b\uae38\uc5d0\uc11c \ub9cc\ub0ac\uc744 \ub550 \uacbd\uc801\uc744 \uc6b8\ub9ac\uba70 \uc548\uc804\ud788 \uc11c\ud589 \ud1b5\uacfc""]"
8,"멧토끼",Hare,https://i.namu.wiki/i/qfLWzMxXInptfEZIjvQsj9lHYTLqnZeooF30lcUp8Hh0_A0R7Ax3kG62FiPLjNVTMSxcmuUqyVFHD7tGgf_7Ww.webp,"사람에게 위해가 없으니 조용히 관찰 바람","[""\ucc9c\uc801\uc740 \ub9f9\uae08\ub958, \uace0\uc591\uc774, \ubd89\uc740 \uc5ec\uc6b0 \ub4f1\uc774 \uc788\uc74c""]","[""\uc720\ud574\ud558\uc9c0 \uc54a\uc73c\ub098 \uc9c0\ub098\uce58\uac8c \uac00\uae4c\uc774 \uac00\uc9c0 \uc54a\ub3c4\ub85d \uc8fc\uc758""]"
9,"족제비",Weasel,https://i.namu.wiki/i/J9lnO2WAcdC2yR7zB-Tj_bxSkumSCagpSdrrf8eXZ4c7IZ1SirwWKT5R0Ta9HaJGoIk0hJ8qxzYwm16YadAeiw.webp,"날렵하며 성질이 사나워 접근을 삼가야 함","[""\uc721\uc2dd\ub3d9\ubb3c \uc911 \uac00\uc7a5 \uc791\uc740 \uc885\uc5d0 \uc18d\ud558\uc9c0\ub9cc, \uc190\uc5d0 \uaf3d\uc744 \ub9cc\ud07c \uc0ac\ub098\uc6b4 \ud3ec\uc2dd\uc790"", ""\ubab8\ub3d9\uc791\uc774 \ub0a0\ub835\ud558\uba70, \ud131\uc774 \ubc1c\ub2ec\ub418\uc5b4 \ubb34\ub294 \ud798\uc774 \uac15\ud568""]","[""\uc0ac\ub78c\uc5d0\uac8c \uc720\ud574\ud55c \ub3d9\ubb3c\uc774\uba70 \uac00\uae09\uc801 \uc989\uc2dc \uc2e0\uace0""]"
10,"왜가리",Heron,https://i.namu.wiki/i/H-57PFX-X-nihGQhyioHh2r-cJvkKnelpawBsLtKeAoGwkx8qheydMOsRqX1XraD_AlgfEX4lbqZ96vHqi2uzQ.webp,"사람에게 해를 끼치지 않으니 조심히 지나가면 됨","[""\uc5ec\ub7ec \uac00\uc9c0 \uc18c\ub9ac\ub97c \ub0b4\uc9c0\ub9cc \uc6b0\ub294 \uc18c\ub9ac\uac00 \uace0\ud568\uce58\ub294 \uac83\uacfc \uac19\uc544 \uc73c\uc545\uc0c8\ub77c\uace0 \ubd88\ub9ac\uae30\ub3c4 \ud568"", ""\uc218\ub2ec, \uac00\ubb3c\uce58\uc640 \ud568\uaed8 \uad6d\ub0b4 \ud558\ucc9c\uc758 \ucd5c\uc0c1\uc704 \ud3ec\uc2dd\uc790\uc774\uba70, \uba39\uc131\uc774 \uc88b\uc74c""]","[""\uc720\ud574\ud558\uc9c0 \uc54a\uc73c\ub2c8 \uac00\uae4c\uc774 \ub2e4\uac00\uac00\uac70\ub098 \uc790\uadf9\ud558\uc9c0 \uc54a\ub3c4\ub85d \uc8fc\uc758 \ubc14\ub78c""]"
11,"중대백로","Great egret",https://i.namu.wiki/i/yWaj8FGHllhpfWgULbsvseFL7iMVsYOLoeBg_pPxZO3nnXu8RWf5-sAzunc8oBpXKZEx41xAKubyNJdHqIvfxQ.webp,"사람에게 해를 끼치지 않으니 가까이 다가가거나 자극하지 않도록 주의 바람","[""\ubab8 \uc0c9\uc740 \uc804\uccb4\uc801\uc73c\ub85c \ud770\uc0c9\uc774\uc9c0\ub9cc, \uc18d\uc758 \ud53c\ubd80\ub294 \uac80\uc74c""]","[""\uc720\ud574\ud558\uc9c0 \uc54a\uc73c\ub2c8 \uc790\uc5f0\uc2a4\ub7fd\uac8c \ub450\uba74 \ub428""]"
